channel_location,date_creation,channel_name,views,videos,subscriptions,extration_date,icon,banner
Estados Unidos,2019-05-13,MC Hariel,863658275,235,1960000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/AM2m13BstcZT0o-UNOnVsd1AtKbSs2qChvCDuNV0XYgIn0xqedjb2A0tUpPOJ1BBkbvCYICjWg=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/Pp5KGp5PiYmR21OFGLGGDZcMTxrvowQ_hSRfXb1elyqPGGJfN6r4ss5tnMiM91AoP0w7tLYgDQ=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2017-12-05,MC Jacaré,546592530,102,1120000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/wcf5cHqbnEzQrYKwNG6-ywexrSbD_xJjxvuQQj0WA-ojvIPxYnbhVRzfOEN3zZKxB1iBE0MDgQA=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/tesnKD1X7uhpYc385xLsIAcONMYe36i8iJB9mNfmpcdbuzBTtAtl0LqpzB67jHRV8a-elZwr5eY=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2019-11-24,MC Poze do Rodo,1502453498,31,4250000,2024-08-19 00:34:09,https://yt3.googleusercontent.com/QvUlwfjrhvPDNd3ZIMtNK7WCvfr4Gjpm3n7rgoLFw1J2xVqSve1Y2MkjlTD25l_I4Cl1iZtBIw=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/wFOt2rE11FqvAxkVQDgvQiq-xo89ehKAmPTDwDN1I1L12hvnPXhdomgVmNknn_OarvB5RahI9M0=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2010-01-18,MK MUSIC,11020304275,6312,17200000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/E8tj9C-LG_Es8-5VOSsVWmZR1WQTZzN8qXyzeY-VpDy4kzWCuLO-0_rFfcmmz03YBoTZZpre_w=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/s2xHJx8lO-vomEj_6lwVfhus09-MdLKIG5APzsjEdJvx2BsL43GZCkGlVMOhFx-UIsdnCB957mg=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Estados Unidos,2012-02-19,MrBeast,56870790469,811,310000000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/fxGKYucJAVme-Yz4fsdCroCFCrANWqw0ql4GYuvx8Uq4l_euNJHgE-w9MTkLQA805vWCi-kE0g=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/NP3nTQ3kxLiXV-kLXKS2zaNL6ESMMBv74m-d5a--q5ThgLD6I-IyqLwAbj-AbClWNbORBg3Pcg=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2010-10-27,MUSSA,2120086050,545,12900000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/HjS8Tj0OPumsW8joXIeBIP7dcSvlF-aAVqdzpYZBaMA96AI_EfT6hkHg9MqZh7VpyGNNeR0s=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/z3UV8NXZi0-vbAP8NZ3w43ysuFTBnvwtqavgaPACDdAvaj7TiwlVo9713vaAUsxRVFut9Ctg_Q=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2015-10-24,NightExtreme,1127287398,3039,2690000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/OkLFige7ET4qswkVU8jpMhRkRwR8CHmK3Ue_MA7i-0hhts-8DBhKQ0S2ShaE5iGmaJgRa4gOVw=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/TJbVQNhIHfYPO0BUGUaXMGlhmS27k9RhYHGskAkYngqIt-9Hyb2hcyXsZtC1KtGl4nDNaXV6DA=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2016-02-23,NOBRU,551884156,885,15600000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/QGfSLn5uA7rkFRSs_5wkDWWeb7q5xL8AR-Ghsnez80EFo0hedIy7QhpmvyKrAQzbIZUcD3WjaA=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/8fRTY2mNUfbBkBjiqwQiFDkXemW6FHlX5BRHQNKaNKnH2vbuG1pq6jkR3iubvkuOsjTsQvciWQ=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Unknown,2023-01-01,oFbr,120064336,504,829000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/wBrOL5ibcitTcF0cIJ7EnN9tYBbjBw6GOS2NRFTrYP3RPXX_PBaQtPfMkZe1VexHLzJPoR9JcOc=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/bJ4MElo-WDi3yXA07KOvTWJBXA_Slle57i7P2-_KrCwxh_RezfqpjbdarNqRJAzZDHAu-pZBH3g=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2011-08-11,Patriota,535860301,5362,1600000,2024-08-19 00:34:09,https://yt3.googleusercontent.com/ytc/AIdro_muY5bmVuipHiLMjVjopHboaXWIQKrgU4NUDEu0YLJTfzA=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/zSd2fYq0sxcH28lgWjp15VhxPCgjEfSeE9kfFr06pEIhdl83oi-M84mDiD3_ICHIBQuYyL_halg=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2024-04-16,Paulo Vita Show,26606973,95,339000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/s-5a2vilmEbaKyEDPD1KhxxTkzyEBaVhslMXcqJJVXpt8lXHW7zuTgLC5e6uE2dkpoHH3ore6Cw=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/ulkz4XLxOw3Ddiz2pJmgdXztX9QePEZDgbcUqwaKqMvXPvxGMYlo3Cmi6nTReaGhB_G-7Qy2=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2017-01-16,PEIXE,412803840,466,3990000,2024-08-19 00:34:09,https://yt3.googleusercontent.com/OMaa1Q0nRasgtP0nyfAmF_MJOXoMCIl6HoW6YWsaA-QB6hg7-iwS4TJrAdYzSRM4dS8lDlhUww=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/5zmzxYwx61uy9RCnedT5zw-gh-J0g4rbuCNENOCA8r9tkZYDZ0Pn7uHhBHyYVAFoOUYI8WqKTw=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2016-12-25,PineappleStormTV,5511800977,362,11400000,2024-08-19 00:34:09,https://yt3.googleusercontent.com/YhnZPynt4nJMQmsj1COoNVzfMIvkALq7PLnvWsiCpthBLN7Zjj_47ejEsQRxoOg_CJ_JWVTCNA=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/gToJe0wBkmly8FOnsf2_aAOTqOe6LG-Fiem78-pT-j4QR4eEeFwc78IiUjjoKdhrXtALLnkVPA=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2014-07-01,Rádio BandNews FM,1484096685,65891,2340000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/k-uDUujesbrLiWHvtWi11cC46DZnSD4Vowg97AhgWdnD6RB9wGgtvnAlCsDxU6iql-ySiwTrnEE=s900-c-k-c0x00ffffff-no-rj,
Brasil,2014-05-17,Robin Hood Gamer,11144925585,4380,21100000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/OhCQz0_OyJnwDHt1LyrINzouuz_vYa9WQLKlbwuEnHLbMyEsnXRk99yJqZxdn3z9Vpyw8nBk=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/vwhxoHw0t8KISFmxpUmypwq2WJWEuiYCv3BTZoWfHeFloSS2Gw6RzdQFHmQ_SCdCS78vq0Rg=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
